election_name;rule_abbreviation;property_short_name;value
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost_greedy;inverted_cost_gini;0.5395965880639995
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost_greedy;prop_pos_sat;0.9304471256210078
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost_greedy;category_prop;0.993298665449813
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost_greedy;med_select_cost;30000.0
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost_greedy;agg_nrmcost_sat;[0.0695528743789922, 0.13626685592618878, 0.12491128459900638, 0.09048970901348474, 0.0716820440028389, 0.0660042583392477, 0.05926188786373315, 0.06635911994322215, 0.06210078069552875, 0.049325762952448546, 0.04045422285308729, 0.04293825408090845, 0.05429382540809084, 0.0347764371894961, 0.0234208658623137, 0.007452093683463449, 0.0007097232079489, 0.0, 0.0, 0.0, 0.0]
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost_greedy;avg_card_sat;4.6951738821859506
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost_greedy;avg_cost_sat;658711.0361958835
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost_greedy;avg_nrmcard_sat;0.09206223298403825
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost_greedy;avg_nrmcost_sat;0.25053305794145814
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost_greedy;avg_relcard_sat;0.4490929236759615
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost_greedy;avg_relcost_sat;0.32820380636621094
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost_uncompleted;inverted_cost_gini;0.556716971490675
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost_uncompleted;prop_pos_sat;0.9247693399574166
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost_uncompleted;category_prop;0.9975171694917249
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost_uncompleted;med_select_cost;29900.0
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost_uncompleted;agg_nrmcost_sat;[0.07523066004258339, 0.15010645848119233, 0.14868701206529453, 0.1185237757274663, 0.09261887863733144, 0.08942512420156139, 0.0660042583392477, 0.07558552164655784, 0.08729595457771469, 0.05003548616039744, 0.03584102200141945, 0.0099361249112846, 0.0007097232079489, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost_uncompleted;avg_card_sat;4.297019162526623
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost_uncompleted;avg_cost_sat;487268.5237757275
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost_uncompleted;avg_nrmcard_sat;0.08425527769660045
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost_uncompleted;avg_nrmcost_sat;0.1853268984305443
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost_uncompleted;avg_relcard_sat;0.41075905996062084
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost_uncompleted;avg_relcost_sat;0.2558581766058079
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card;inverted_cost_gini;0.6539229906900788
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card;prop_pos_sat;0.9403832505322924
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card;category_prop;0.9903440982106912
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card;med_select_cost;31500.0
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card;agg_nrmcost_sat;[0.05961674946770759, 0.10397444996451384, 0.13023420865862315, 0.17814052519517387, 0.18204400283889283, 0.1603974449964514, 0.10539389638041163, 0.06068133427963095, 0.0134847409510291, 0.00532292405961675, 0.0007097232079489, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card;avg_card_sat;5.580553584102205
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card;avg_cost_sat;417871.7459190919
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card;avg_nrmcard_sat;0.10942261929612167
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card;avg_nrmcost_sat;0.15893264357167056
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card;avg_relcard_sat;0.522520616754115
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card;avg_relcost_sat;0.24258048742421948
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card_greedy;inverted_cost_gini;0.634844282368425
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card_greedy;prop_pos_sat;0.9389638041163946
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card_greedy;category_prop;0.9936683413644181
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card_greedy;med_select_cost;31500.0
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card_greedy;agg_nrmcost_sat;[0.06103619588360539, 0.10078069552874379, 0.1320085166784954, 0.13875088715400993, 0.1554293825408091, 0.13626685592618878, 0.11284599006387509, 0.08623136976579134, 0.049680624556423, 0.023775727466288147, 0.00319375443577005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card_greedy;avg_card_sat;5.628459900638751
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card_greedy;avg_cost_sat;465706.52235627995
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card_greedy;avg_nrmcard_sat;0.11036195883605393
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card_greedy;avg_nrmcost_sat;0.17712604273796437
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card_greedy;avg_relcard_sat;0.527667283824133
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card_greedy;avg_relcost_sat;0.26238218612290937
